group (informal),order,family,genus,species,based on,era,period,epoch,formation,continent,country,reference (APA),year,doi,author of the reconstruction,Copyright holder,license,type of reconstuction,Full text link,notes
unknown,Erdtmanithecales,,Eucommiitheca,Eucommiitheca hirsuta,,Mesozoic,Cretaceous,Early Cretaceous,,Europe,Portugal,Friis E. M. & Pedersen K. R. (1996). Eucommiitheca hirsuta a new pollen organ with Eucommiidites pollen from the Early Cretaceous of Portugal. Grana 35(2) 104-112.,1996,https://doi.org/10.1080/00173139609429480,Pollyanna von Knorring,Taylor & Francis,,reproductive structure,https://www.tandfonline.com/doi/pdf/10.1080/00173139609429480,
unknown,Pentoxylales,,Pentoxylon,,Pentoxylon & Nipaniophyllum & Sahnia & Carnoconites,Mesozoic,Jurassic,,,India,India,Srivastava S. C. & BANERJI J. (2001). Pentoxylon plant: a reconstruction and interpretation. Plant Cell Biol. Devel.(Szeged) 13 11-18.,2001,,,????,,whole plant,http://acta.bibl.u-szeged.hu/47897/1/plant_cell_013_011-018.pdf,
pteridosperms,,,Dicroidium ,Dicroidium spp.,,Palaeozoic,Permian,,Um Irna Formation,,Jordan,Abu Hamad et al. (2008). A Late Permian flora with Dicroidium from the Dead Sea region Jordan. Review of Palaeobotany and Palynology 149: 85-130,2008,,,,,frond,,
ferns,Gleicheniales,,Digitopteris,Digitopteris repanda,,Mesozoic,Triassic,Late Triassic,,Europe,Austria,Pott C. Bouchal J. M. Choo T. Yousif R. & Bomfleur B. (2018). Ferns and fern allies from the Carnian (Upper Triassic) of Lunz am See Lower Austria: A melting pot of Mesozoic fern vegetation. Palaeontographica. Abteilung B Palaophytologie 297(1Ãê6) 1-101.,2018,https://dx.doi.org/10.1127/palb/2018/0059,Pollyanna von Knorring,Schweizerbart,,frond,https://www.schweizerbart.de/papers/palb/detail/297/89122/Ferns_and_fern_allies_from_the_Carnian_Upper_Trias?af=crossref,
horsetails,,,,,,Mesozoic,Triassic,Late Triassic,,Europe,Austria,Pott C. Bouchal J. M. Choo T. Yousif R. & Bomfleur B. (2018). Ferns and fern allies from the Carnian (Upper Triassic) of Lunz am See Lower Austria: A melting pot of Mesozoic fern vegetation. Palaeontographica. Abteilung B Palaophytologie 297(1Ãê6) 1-101.,2018,https://dx.doi.org/10.1127/palb/2018/0059,Pollyanna von Knorring,Schweizerbart,,whole plant,https://www.schweizerbart.de/papers/palb/detail/297/89122/Ferns_and_fern_allies_from_the_Carnian_Upper_Trias?af=crossref,
ferns,Osmundales,,Todites,Todites linnaeifolium,,Mesozoic,Triassic,Late Triassic,,Europe,Austria,Pott C. Bouchal J. M. Choo T. Yousif R. & Bomfleur B. (2018). Ferns and fern allies from the Carnian (Upper Triassic) of Lunz am See Lower Austria: A melting pot of Mesozoic fern vegetation. Palaeontographica. Abteilung B Palaophytologie 297(1Ãê6) 1-101.,2018,https://dx.doi.org/10.1127/palb/2018/0059,Pollyanna von Knorring,Schweizerbart,,whole plant,https://www.schweizerbart.de/papers/palb/detail/297/89122/Ferns_and_fern_allies_from_the_Carnian_Upper_Trias?af=crossref,
ferns,Schizaeales,,Cynepteris,Cynepteris reticulata,,Mesozoic,Triassic,Late Triassic,,Europe,Austria,Pott C. Bouchal J. M. Choo T. Yousif R. & Bomfleur B. (2018). Ferns and fern allies from the Carnian (Upper Triassic) of Lunz am See Lower Austria: A melting pot of Mesozoic fern vegetation. Palaeontographica. Abteilung B Palaophytologie 297(1Ãê6) 1-101.,2018,https://dx.doi.org/10.1127/palb/2018/0059,Pollyanna von Knorring,Schweizerbart,,frond,https://www.schweizerbart.de/papers/palb/detail/297/89122/Ferns_and_fern_allies_from_the_Carnian_Upper_Trias?af=crossref,
angiosperms,,,,various angiosperms,,Mesozoic,Cretaceous,Early Cretaceous,Frentsevka Fm,Asia,Russia,Golovneva L. Alekseev P. Bugdaeva E. & Volynets E. (2018). An Angiosperm Dominated Herbaceous Community from the EarlyÃêMiddle Albian of Primorye Far East of Russia. Fossil Imprint 74(1-2) 165-178.,2018,https://doi.org/10.2478/if-2018-0012,,authors,CC BY-NC-ND 4.0,ecosystem,https://content.sciendo.com/view/journals/if/74/1-2/article-p165.xml?rskey=KRgt7H&result=3,
cycadophytes,Bennettitales,,Pterophyllum,Pterophyllum rectangulare,,Mesozoic,Cretaceous,Early Cretaceous,Winthrop Fm.,North America,USA,Miller I. M. & Hickey L. J. (2010). The fossil flora of the Winthrop Formation (Albian-Early Cretaceous) of Washington State USA. Part II: Pinophytina. Bulletin of the Peabody Museum of Natural History 51(1) 3-96.,2010,http://dx.doi.org/10.3374/014.051.0104,,Peabody Museum of Natural History at Yale University,,shoot,,
gymnosperms,Czechanowskiales,,Czekanowskia,Czekanowskia durabilis,,Mesozoic,Cretaceous,Early Cretaceous,Winthrop Fm.,North America,USA,Miller I. M. & Hickey L. J. (2010). The fossil flora of the Winthrop Formation (Albian-Early Cretaceous) of Washington State USA. Part II: Pinophytina. Bulletin of the Peabody Museum of Natural History 51(1) 3-96.,2010,http://dx.doi.org/10.3374/014.051.0104,,Peabody Museum of Natural History at Yale University,,shoot,,
conifers,Cupressaceae,,Sphenolepis,Sphenolepis condita,,Mesozoic,Cretaceous,Early Cretaceous,Winthrop Fm.,North America,USA,Miller I. M. & Hickey L. J. (2010). The fossil flora of the Winthrop Formation (Albian-Early Cretaceous) of Washington State USA. Part II: Pinophytina. Bulletin of the Peabody Museum of Natural History 51(1) 3-96.,2010,http://dx.doi.org/10.3374/014.051.0104,,Peabody Museum of Natural History at Yale University,,shoot and cones,,
cycadophytes,uncertain,,Laceria,Laceria pulcra,,Mesozoic,Cretaceous,Early Cretaceous,Winthrop Fm.,North America,USA,Miller I. M. & Hickey L. J. (2010). The fossil flora of the Winthrop Formation (Albian-Early Cretaceous) of Washington State USA. Part II: Pinophytina. Bulletin of the Peabody Museum of Natural History 51(1) 3-96.,2010,http://dx.doi.org/10.3374/014.051.0104,,Peabody Museum of Natural History at Yale University,,leaf,,
cordaites,Cordaitales,,,,,Palaeozoic,Carboniferous,Pennsylvanian,,,,DiMichele W. A. (2014). Wetland-dryland vegetational dynamics in the Pennsylvanian ice age tropics. International Journal of Plant Sciences 175(2) 123-164.,2014,https://doi.org/10.1086/675235,Mary Parrish,UNIVERSITY OF CHICAGO PRESS,,whole plant,https://www.journals.uchicago.edu/doi/abs/10.1086/675235,
conifers,,,,,,Palaeozoic,Carboniferous,Pennsylvanian,,,,DiMichele W. A. (2014). Wetland-dryland vegetational dynamics in the Pennsylvanian ice age tropics. International Journal of Plant Sciences 175(2) 123-164.,2014,https://doi.org/10.1086/675235,Mary Parrish,UNIVERSITY OF CHICAGO PRESS,,whole plant,https://www.journals.uchicago.edu/doi/abs/10.1086/675235,
cordaites,Cordaitales,,Cordaixylon,,,Palaeozoic,Carboniferous,Pennsylvanian,,,,DiMichele W. A. (2014). Wetland-dryland vegetational dynamics in the Pennsylvanian ice age tropics. International Journal of Plant Sciences 175(2) 123-164.,2014,https://doi.org/10.1086/675235,Mary Parrish,UNIVERSITY OF CHICAGO PRESS,,whole plant,https://www.journals.uchicago.edu/doi/abs/10.1086/675235,
pteridosperms,Medullosales,,,,,Palaeozoic,Carboniferous,Pennsylvanian,,,,DiMichele W. A. (2014). Wetland-dryland vegetational dynamics in the Pennsylvanian ice age tropics. International Journal of Plant Sciences 175(2) 123-164.,2014,https://doi.org/10.1086/675235,Mary Parrish,UNIVERSITY OF CHICAGO PRESS,,whole plant,https://www.journals.uchicago.edu/doi/abs/10.1086/675235,
horsetails,,,Calamites,,,Palaeozoic,Carboniferous,Pennsylvanian,,,,DiMichele W. A. (2014). Wetland-dryland vegetational dynamics in the Pennsylvanian ice age tropics. International Journal of Plant Sciences 175(2) 123-164.,2014,https://doi.org/10.1086/675235,Mary Parrish,UNIVERSITY OF CHICAGO PRESS,,whole plant,https://www.journals.uchicago.edu/doi/abs/10.1086/675235,
conifers,,,Brachyphyllum,Brachyphyllum obesum,,Mesozoic,Cretaceous,Early Cretaceous,,South America,Brazil,Martine A. M. & Ricardi-Branco F. (2017). DescriÁ„o dos mÈtodos paleoartÌsticos para reconstruÁıes de animais e vegetais fÛsseis. Terrae Didatica 13(2) 101-112.,2017,http://dx.doi.org/10.20396/td.v13i2.8650086,Ariel Milani Martine,,CC BY-NC,whole plant,https://periodicos.sbu.unicamp.br/ojs/index.php/td/article/view/8650086,

